min, reserved, allocated, completing
1,20,0,0
2,0,20,0
3,0,20,0
4,0,20,0
5,0,20,0
6,0,20,0
7,0,20,0
8,0,20,0
9,0,20,0
10,0,20,0
11,2,18,0
12,2,18,0
13,2,18,0
14,2,18,0
15,2,18,0
16,2,18,0
17,2,18,0
18,2,18,0
19,2,18,0
20,2,18,0
21,2,18,0
22,2,18,0
23,2,18,0
24,2,18,0
25,2,18,0
26,2,18,0
27,1,19,0
28,0,20,0
29,0,20,0
30,0,20,0
31,0,20,0
32,0,20,0
33,0,20,0
34,0,20,0
35,0,20,0
36,0,20,0
37,0,20,0
38,0,20,0
39,0,20,0
40,0,20,0
41,0,20,0
42,0,20,0
43,0,20,0
44,0,20,0
45,0,20,0
46,0,20,0
47,0,20,0
48,0,20,0
49,0,20,0
50,0,20,0
51,0,20,0
52,0,20,0
53,0,20,0
54,0,20,0
55,0,20,0
56,0,20,0
57,0,20,0
58,0,20,0
59,0,20,0
60,0,20,0
61,0,20,0
62,0,20,0
63,0,20,0
64,0,20,0
65,0,20,0
66,0,20,0
67,0,20,0
68,0,20,0
69,0,20,0
70,0,20,0
71,0,20,0
72,0,20,0
73,0,20,0
74,0,20,0
75,0,20,0
76,0,20,0
77,0,20,0
78,0,20,0
79,0,20,0
80,0,20,0
81,0,20,0
82,0,20,0
83,1,19,0
84,1,19,0
85,1,19,0
86,0,20,0
87,0,20,0
88,0,20,0
89,0,20,0
90,2,18,0
91,2,18,0
92,2,18,0
93,2,18,0
94,2,18,0
95,2,18,0
96,0,20,0
97,0,20,0
98,1,19,0
99,0,20,0
100,0,20,0
101,0,20,0
102,0,20,0
103,0,20,0
104,0,20,0
105,0,20,0
106,0,20,0
107,0,20,0
108,0,20,0
109,0,20,0
110,0,20,0
111,0,20,0
112,0,20,0
113,1,19,0
114,1,19,0
115,0,20,0
116,0,20,0
117,2,18,0
118,0,20,0
119,1,19,0
120,1,19,0
121,1,19,0
122,0,20,0
123,0,20,0
124,1,19,0
125,3,17,0
126,3,17,0
127,3,17,0
128,3,17,0
129,0,20,0
130,0,20,0
131,0,20,0
132,0,20,0
133,0,20,0
134,0,20,0
135,0,20,0
136,0,20,0
137,0,20,0
138,0,20,0
139,2,18,0
140,2,18,0
141,2,18,0
142,3,17,0
143,3,17,0
144,0,20,0
145,0,20,0
146,0,20,0
147,0,20,0
148,0,20,0
149,0,20,0
150,0,20,0
151,0,20,0
152,0,20,0
153,0,20,0
154,0,20,0
155,0,20,0
156,0,20,0
157,0,20,0
158,1,19,0
159,0,20,0
160,0,20,0
161,1,19,0
162,1,19,0
163,0,20,0
164,0,20,0
165,0,20,0
166,0,20,0
167,0,20,0
168,0,20,0
169,2,18,0
170,2,18,0
171,2,18,0
172,0,20,0
173,0,20,0
174,0,20,0
175,0,20,0
176,0,20,0
177,0,20,0
178,0,20,0
179,0,20,0
180,0,20,0
181,0,20,0
182,0,20,0
183,0,20,0
184,0,20,0
185,0,20,0
186,0,20,0
187,0,20,0
188,0,20,0
189,0,20,0
190,0,20,0
